레시피_아이디,조회수,레시피_메인이미지,유저_아이디,제목,등록일,수정일,요약,인원수,소요시간,난이도
420422,64727,https://recipe1.ezmember.co.kr/cache/recipe/2015/12/02/96de8caeae42e0c7863feca1406afba4.jpg,wine59,샐러드계의 베스트셀러 토마토카프레제 샐러드,2008-01-19,2016-01-28,"피자가 인기메뉴로 전세계음식으로 퍼졌듯이 이 토마토카프레제도..인기를 모으는 이유를 알겠더군요. 이 샐러드는 이태리 카프리섬에서 유래되어 카프레제라는 이름이 붙여졌다고 하는데요. 바질, 생모짜렐라치즈, 토마토, 올리브유와 발사믹식초가 서로 어우러져서 나오는 맛궁합이 정말 짱이더군요. 짱짱해용~~ 생모짜렐라치즈도 고소하니 맛있구요. 건강에 좋은 토마토, 허브, 올리브유 그리고 양파까징~ 허브향이 확 퍼지면서 재료들의 맛이 서로서로 잘 어울리더군여^^ 그래서 제가 제목에 베스트셀러라는 이름을 붙여주었어요.",2인분,10분 이내,아무나
420777,289395,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/09/8a5050a1d55561f22c5f60319f427fab.jpg,young4652,꼬들꼬들한 밑반찬..코다리조림,2008-01-19,2016-08-16,제가 무지 좋아하는 밑반찬 중에 한가지랍니다..^^ 손가락 끝에 묻은 양념을 쪽쪽~빨아 먹을정도로~ ㅋㅌ,4인분,30분 이내,아무나
563115,30135,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/21/00e55dd738481605eb1c32df1994d53f.jpg,lauandy,쫀득쫀득 더블퍼지브라우니,2008-03-03,2015-10-22,진한 초콜릿 풍미가 가득한 쫀득함 브라우니입니다.,4인분,60분 이내,초급
570245,57233,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/09/d50313d4008946d58a72ea984da5b170.jpg,young4652,한층 더 구수한 꽃게된장찌개~,2008-03-07,2016-06-29,미리 사다 넣어둔 꽃게로 아침상에 좋은 꽃게된장찌개를 끓였어요~,4인분,60분 이내,초급
686369,60208,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/09/6a7c121c641c2ba57960a6a626c3f437.jpg,young4652,팽이버섯 새콤 하게 무침 으로 드셔보세요~,2008-06-02,2016-06-29,어제 만들어 먹은 간단한 레시피.. 새콤 달콤하며 아삭하니 맛이 좋답니다.. 늘 팽이버섯은 찌개나 전골에 넣어만 먹는데.. 깨소스를 만들어 어젠 무침으로 입맛을 돋아 주었답니다..,3인분,15분 이내,아무나
702096,59862,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/01/8d1edab47bfc9a054012e067d8818b7d.jpg,ymgs1888,애호박 돼지고기 찌개,2008-06-18,2016-01-25,제가 즐겨 만들어 먹는 찌개인데요. 이상하게 만들어 놓고 먹으면 야외에서 먹는 맛이 나더라구용. 다른반찬 없이 이 찌개 하나면 밥 두공기는 기본이니 입맛 없거나 하신분들께 적극 추천합니다.,2인분,30분 이내,초급
765783,26246,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/03/475205c3280676d6d965e0585c065797.jpg,ymgs1888,초코 쉬폰 케이크,2008-08-11,2015-09-03,"생크림은 안바르구 슈가파우더로만 데코를 한 찐한 촉촉함, 초코쉬폰케이크입니다.",6인분 이상,90분 이내,중급
781267,59243,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/09/751adb93c3243c2713b0a93b187713da.jpg,wine59,더덕고추장구이,2008-08-27,2016-02-11,만들기도 그리 어렵지 않고요. 만들어놓으면 게눈 감추듯 금방 없어집니다. 손님상에 올리면 일품반찬으로 최고지요. 아작아작 씹히는 맛. 요거 진짜 맛나답니다.,4인분,90분 이내,중급
786272,69728,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/16/3c69fc8b93ed0c409664592ea030a7a2.jpg,ymgs1888,자꾸만 손이가는 달콤한 닭강정,2008-09-01,2016-01-25,전 닭강정하면 추억의 맛이 떠올라요~ 여러분들두 닭강정의 대한 추억이 있으신가요? 그렇담 저와 함께 그 추억을 되살려보아요~ 없으신 분들은 오늘! 추억을 만드시면 되겠솨와용~ 히힛,2인분,30분 이내,초급
793400,36898,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/09/9ad00f403d2478824d906eefded0811b.jpg,ywk0710,♣ 담백하고 부드러운~~ 중국식 새우탕 ♣,2008-09-08,2016-06-29,맑은 국은 돌쟁이 호윤군까지 두루두루 맛있게 먹을수 있기에 요즘은 맑은탕을 주로 끓이려고 하거든요~ 한그릇에 푸짐하게 만들수 없는 국이 없을까 고민하다가 냉장고를 털어서 새우탕을 끓이기로 했어요~,3인분,30분 이내,초급
