레시피_아이디,레시피_태그_순번,내용
1826770,1,#바지락
1826770,2,#시금치
1826770,3,#된장국
1826770,4,#시금치된장국
1826770,5,#바지락된장국
1826770,6,#철분이 많은
1826770,7,#빈혈
1826770,8,#괴혈병
1826770,9,#국
2659680,1,#바나나
2659680,2,#바나나샐러드
2659680,3,#샐러드
2659680,4,#식이섬유
2659680,5,#변비예방
2659680,6,#변비
2659680,7,#숙변제거
2659680,8,#유산균
2659680,9,#요구르트
2659680,10,#요거트
2659680,11,#장에 좋은
2659680,12,#장 건강
3171505,1,#야채죽
3171505,2,#후기 이유식
3171505,3,#애호박
3171505,4,#당근
3171505,5,#표고버섯
3171505,6,#쇠고기 육수
3171505,7,#철분보충
3334221,1,#검은콩
3334221,2,#콩
3334221,3,#콩자반
3334221,4,#밥반찬
3334221,5,#밑반찬
3334221,6,#생리불순
3334221,7,#무월경
3334221,8,#생리통
3394168,1,#돼지고기
3394168,2,#목심
3394168,3,#목살
3394168,4,#생강
3394168,5,#생강구이
3394168,6,#임신이잘되는
3394168,7,#수정이 잘되는
3394168,8,#임신
3394168,9,#임신준비
3394168,10,#계획임신
3568149,1,#고등어
3568149,2,#무
3568149,3,#조림
3568149,4,#고등어조림
3568149,5,#DHA
3568149,6,#EPA
3568149,7,#두뇌발달
3568149,8,#불포화지방산
3568149,9,#다이어트
3568149,10,#생선조림
3568149,11,#근육증가
3568149,12,#단백질보충
3568149,13,#단백질
3568149,14,#생선
3865645,1,#낙지
3865645,2,#양파
3865645,3,#낙지볶음
3865645,4,#양파볶음
3865645,5,#임신이잘되는
3865645,6,#임신
3865645,7,#계획임신
3865645,8,#임신준비
3865645,9,#원기회복
3976406,1,#두부
3976406,2,#오꼬노미야끼
3976406,3,#두부오꼬노미야끼
3976406,4,#모발
3976406,5,#두피
3976406,6,#찰랑거리는 머릿결
3976406,7,#머릿결
3976406,8,#탈모
3976406,9,#두피건강
3976406,10,#모발건강
3976406,11,#달걀
3976406,12,#장건강
3976406,13,#아이장튼튼
3976406,14,#장운동
3976406,15,#소화가잘되는
3980592,1,#우유
3980592,2,#케이크
3980592,3,#노버터
3980592,4,#우유케이크
3980592,5,#베이킹
3980592,6,#우유스팀케이크
3980592,7,#간식
3980592,8,#건강간식
3980592,9,#아이간식
3980592,10,#칼슘
3980592,11,#칼슘보충
3980592,12,#고칼슘
3980592,13,#뼈건강
3980592,14,#칼슘흡수
3980592,15,#골다공증
3980592,16,#골연화증
3980592,17,#뼈튼튼
3980592,18,#뼈성장
3980592,19,#뼈
3980592,20,#완료기이유식
3980592,21,#아기간식
3980592,22,#이유식
4030952,1,#고추
4030952,2,#고추된장박이
4030952,3,#밥도둑
4030952,4,#임신이잘되는
4030952,5,#스트레스
4030952,6,#된장
4030952,7,#계획임신
4030952,8,#임신
4030952,9,#임신준비
4116039,1,#검은콩
4116039,2,#검은콩자반
4116039,3,#콩자반
4116039,4,#여성호르몬
4116039,5,#이소플라본
4116039,6,#에스트로겐
4116039,7,#우울증
4116039,8,#불면증
4116039,9,#골다공증
4116039,10,#유방암
4116039,11,#골밀도
4116039,12,#식이섬유
4116039,13,#갱년기 다이어트
4116039,14,#갱년기
4116039,15,#갱년기증후군
4116039,16,#폐경
4134696,1,#콩나물
4134696,2,#어묵
4134696,3,#콩나물 어묵 볶음
4134696,4,#어묵볶음
4134696,5,#심신안정
4134696,6,#이소플라본
4134696,7,#안면홍조
4134696,8,#골다공증
4134696,9,#콜레스테롤
4134696,10,#갱년기
4134696,11,#갱년기증후군
4155883,1,#참치
4155883,2,#깻잎
4155883,3,#치즈
4155883,4,#전
4155883,5,#단백질
4155883,6,#고단백
4155883,7,#근육증가
4155883,8,#단백질보충
4155883,9,#탄탄한몸매
4155883,10,#면역력
4155883,11,#다이어트
4155883,12,#뼈
4155883,13,#뼈건강
4155883,14,#머슬업
4155883,15,#태아
4155883,16,#태교음식
4155883,17,#임신
4155883,18,#임산부
4155883,19,#임신에 좋은 음식
4155883,20,#DHA
4155883,21,#두뇌개발
4259251,1,#감자
4259251,2,#멸치
4259251,3,#멸치볶음
4259251,4,#감자볶음
4259251,5,#뼈째 먹는
4259251,6,#태아
4259251,7,#태교음식
4259251,8,#임신에 좋은 음식
4259251,9,#임신
4259251,10,#임산부
4259251,11,#반찬
4259251,12,#밑반찬
4268988,1,#낙지
4268988,2,#스태미너
4268988,3,#원기회복
4268988,4,#기력회복
4268988,5,#고단백
4268988,6,#저지방
4268988,7,#식이섬유
4268988,8,#표고버섯
4268988,9,#낙지연포탕
4268988,10,#산후조리
4268988,11,#산후다이어트
4268988,12,#산모에게 좋은 음식
4320507,1,#구운
4320507,2,#애호박
4320507,3,#무침
4320507,4,#애호박무침
4320507,5,#호박
4320507,6,#임신
4320507,7,#임산부
4320507,8,#입덧
4320507,9,#입덧완화
4320507,10,#헛구역질
4320507,11,#식욕
4495605,1,#새우
4495605,2,#브로콜리
4495605,3,#새우 브로콜리 볶음
4495605,4,#피로회복
4495605,5,#기력회복
4495605,6,#뼈건강
4495605,7,#피부미용
4495605,8,#굴소스
4495605,9,#두반장소스
4495605,10,#산후조리
4495605,11,#산모에게 좋은 음식
4526437,1,#연근
4526437,2,#연근조림
4526437,3,#조림
