재료_아이디,재료_이름,제철,보관온도,100g당 열량,잘맞는 음식,안맞는 음식,효능,구입요령,손질법,조리법,보관법,설명
1,시금치,"7월,8월,9월,10월",0~5℃,33Kcal,"레몬, 달걀, 땅콩",두부,"빈혈, 변비, 피로회복, 면역력",짙은 초록색으로 싱싱하며 벌레 먹거나 시든 잎이 없는 것으로 고른다.,"잎과 줄기를 떼어내고, 물에 헹궈찬물에 30분 정도 담가 흙과 농약 제거",살짝 데쳐서 나물로 먹는 것이 가장 좋다,신문지에 싸서 냉장고 채소실에 보관한다.,
2,양파,"7월,8월,9월",15~25℃,36Kcal,육류,,"혈관질환, 불면증, 피로회복, 콜레스테롤저하, 면역력",껍질이 잘 마르고 광택이 있으며 단단하고 중량감이 있는 것을 고른다. 붉은 빛이 도는 것이 신선하고 눌러 보아 물렁물렁한 것은 심이 썩은 것이므로 피하도록 한다,뿌리 부분은 잘라내고 대를 자른 부분에서부터 갈색의 마른 껍질을 벗긴 후 용도에 따라 썰어서 사용,"주로 요리에 양념재료로 이용하고, 껍질을 까서 비닐팩에 넣어 냉장고에 보관하여 먹으면 신속한 조리에 이용할 수 있다.",종이봉투나 망사자루에 넣어 서늘하고 바람이 잘 통하는 곳에 둔다. 오래 저장할 때는 종이봉투에 담아 서늘한 곳에 두어 건조한 상태를 유지시키는 것이 중요하다,
3,고구마,"8월, 9월, 10월",10~25℃,131Kcal,사과,,"고혈압 예방, 항암효과, 눈 피로회복, 변비, 식욕증진","모양이 고르고 병충해의 흠집이 없을 것, 표면이 매끈하고 단단한 것, 진흙에서 자란 것으로 껍질이 밝고 선명한 자주색인 것이 좋다.","흙을 털어내고 깨끗이 씻은 뒤 용도에 따라 썰어 사용하고, 껍질을 벗겨서 그대로 놔두면 표면이 검게 변하는데 엷은 설탕물에 담가 두면 색이 변하지 않음","고구마는 껍질을 깎을 때나 깍자마자 물에 담가 떫은 맛을 제거하고 사용하는 것이 좋다, 보통 찜, 구이, 튀김 등에 이용된다.","고구마의 최적 온도는 12~13℃이며 상처가 난 것은 부패하기 쉽다. 그러나 상처가 난 고구마는 31~35℃,습도 90%에서 5~6일간 보관하면 상처가 코르크층으로 변하여 세균의 침입을 방지하므로 저장성을 높일 수 있게 된다.",
4,감자,"6월, 7월, 8월, 9월, 10월",1~5℃,63Kcal,"당근, 돼지고기, 요구르트",,"나트륨 배출, 고혈압 예방, 항암효과, 피로회복, 변비","감자의 표면에 흠집이 적으며 매끄러운것, 무거우면서 단단한 것이 좋고, 싹이 나거나 녹색 빛깔이 도는 것은 피한다",껍질을 까놓은 감자는 갈변이 일어나기 때문에 물에 놓아야 갈변이 방지됨,"삶아서 주식 또는 간식으로하고, 굽거나 기름에 튀겨먹기도 한다",바람이 잘 통하는 곳에 보관하고 바구니에 사과와 같이 보관하면 싹이 나는 것을 방지한다. 껍질을 까 놓은 감자는 찬물에 담가 물기를 뺀 후 물기 제거 후 비닐봉지나 랩에 싸서 냉장 보관한다,
5,파프리카,"5월, 6월, 7월",1~5℃,20Kcal,가지,,"피부미용, 다이어트, 혈관질환, 면역력","색상이 선명하고, 너무 휘거나 변형되지 않은 약간 통통하면서 반듯한 모양인지 살펴보고, 꼭지 부분이 마르지 않고 겉에 흠집이 없고 윤기가 나며 골 사이에 변색이 없는 것으로 고른다",먹기 직전에 깨끗한 물에 세척하여 꼭지를 절단 후 조리에 이용한다,"생식으로 먹기도하고, 기름과 잘 어울려 볶음, 조림, 전에 이용",물기가 있으면 상하기 쉬우므로 물기를 건조한 후 비닐팩에 담아 냉장고에 보관한다,
6,애호박,"3월, 4월, 5월, 6월, 7월, 8월, 9월, 10월",1~5℃,26Kcal,"치즈, 돼지고기, 닭고기",,"항암효과, 부기제거, 눈 피로회복, 피부미용","몸체가 일자로 고르고 윤기가 있으며, 연한 녹색을 띄는 것이 좋다. 너무 굵은 것은 씨가 너무 자라 있으므로 조금 날씬한 것을 고른다.",호박은 소금물에 씻어내며 껍질을 벗겨내고 요리에 알맞은 크기로 잘라내어 이용한다,"반드시 가열해서 먹는게 좋고, 가장 효과적인 방법은 기름에 볶아 먹는 것인데, 이는 카로틴의 흡수를 좋게 한다.",물기를 없애고 신문지에 싸서 채소실에 보관한다. 호박은 오래 두면 끈적거리는 진액이 나오고 물러지기 쉬우므로 빨리 조리하는 것이 좋다.,
7,오이,"4월, 5월, 6월, 7월",1~5℃,9Kcal,"돼지고기, 닭고기","무, 당근","부종 예방, 피부미용, 나트륨배출, 피로회복",녹색이 짙고 가시가 있으며 탄력과 광택이 있어야 한다. 또 굵기가 고르고 꼭지의 단면이 싱싱한 것이 좋다,오이의 꼭지 부분의 쓴맛은 물에 녹지 않고 열에 강하기 때문에 제거하고 먹는 것이 좋다,"생식을 하거나샐러드나 조림, 볶음 등에 이용하고 절임하여 김치류나 피클류로 사용한다.",한꺼번에 비닐봉지에 넣지 말고 하나씩 신문지로 싸서 비닐봉지에 담은 뒤 채소실에 보관하면 된다.,
8,당근,"9 월, 10월, 11월",1~5℃,37Kcal,"브로콜리, 양파, 돼지고기",오이,"시력보호, 항암효과, 면역력, 혈액순환",색이 일정하고 진한 광택을 띠며 표면이 매끄럽고 형태가 바른 것이 좋다. 단단하고 뿌리 끝이 가늘수록 심이 적고 조직이 연하다,잔뿌리를 잘라내고 흐르는 물에 표면에 묻은 흙을 깨끗이 씻는다,"수프나 주스로 이용하기도 하며, 날것으로 샐러드에 이용하기도 한다",깨끗이 씻어 밀봉하여 보관하거나 흙이 묻은 채로 신문지에 싸서 보관한다,
9,케일,"7월, 8월",0~5℃,43Kcal,식물성 오일,,"동맥경화 예방, 혈압조절, 콜레스테롤저하, 빈혈",병충해가 심한 채소이므로 재배를 위해 농약 사용을 많이 한다. 그러므로 농약의 피해를 줄이기 위해서는 벌레 먹은 케일을 선택하는 것이 현명하다,흐르는 물에 깨끗이 씻어 물기를 제거한 후 쌈으로 이용한다,"가급적 생으로 먹고, 꼭 익혀먹어야 한다면 5분 이상 열을 가하지 않는 것이 좋다",신문지에 싸서 냉장고 신선실에 넣어 보관하고 되도록이면 빠르게 먹는다,
10,브로콜리,"10월, 11월, 12월",1~5℃,33Kcal,가리비,,"피부미용, 항암효과, 면역력, 콜레스테롤저하, 변비",송이가 단단하면서 가운데가 볼록하게 솟아올라 있으며 줄기를 잘라낸 단면이 싱싱한 것을 골라야 한다,삶을 때 끓는 물에 소금을 약간 넣고 줄기부터 넣어 삶으면 비타민 C의 손실을 최대한 줄일 수 있다,"삶아서 초고추장 양념과 함께 먹는 방법 이외에 볶음, 샐러드 등에 이용한다",상온에서는 꽃이 피기 쉬우므로 살짝 삶아서 봉지에 넣어 냉장 보관한다,
